Selected,Conc. design,Document
No,"deterministic rules which are generated during the start of the design activity , which are considered necessary to ensure safety by",Document 6
No,"demands on individual structures , systems and components . The design should follow these requirements and update them as necessary as",Document 6
No,". Associated with safety functional requirements is the process whereby design parameters are established , to define the design duty of",Document 6
No,"process whereby design parameters are established , to define the design duty of the structures , systems and components under consideration",Document 6
No,"with SAPs , physical parameters should be established to define design duties , such as temperature , load combinations , damage",Document 6
No,"combinations , damage and aging mechanisms , environmental considerations , design life considerations etc . This links to the overall consideration",Document 6
No,and Components ) are applicable to Safety Functional Requirements and Design Parameters . Design Planning and Organisation 6 . 11 A,Document 6
No,are applicable to Safety Functional Requirements and Design Parameters . Design Planning and Organisation 6 . 11 A well structured and,Document 6
No,/ programme is a key part of a well executed design process . As such it leads directly to ensuring that,Document 6
No,"leads directly to ensuring that safety is incorporated into the design output , by identifying safety process requirements , such as",Document 6
No,"achieved . This plan should identify key inputs , formal design outputs , interdependencies , timescales plus resource requirements , generally",Document 6
No,", timescales plus resource requirements , generally in terms of design effort . The resource considerations should also address internal design",Document 6
No,"design effort . The resource considerations should also address internal design skills , internal facilities , external skills and facilities (",Document 6
No,"facilities ( if consultants are used ) plus the overall design organisation . A well structured , up to date and",Document 6
No,"A well structured , up to date and well communicated design organisation , evidenced through an organisation chart is a prerequisite",Document 6
No,/ 456576 Page 8 of 16 Office for Nuclear Regulation Design activities tend to be organised as either dedicated project teams,Document 6
No,project leading to a ‘ silo ’ mentality . The design programme should be integrated into the overall project and safety,Document 6
No,", such that it is not blindly incorporated into the design when it might be erroneous . This contributes to the",Document 6
No,an inherent feature of a highly reliable process . Where design is undertaken at various levels of detail by different organisations,Document 6
No,"different organisations , it is important to recognise that the Design Authority resides at the highest level , with overall responsibility",Document 6
No,", with overall responsibility for the functionality of the completed design product . It is important that the licensee Design Authority",Document 6
No,completed design product . It is important that the licensee Design Authority should participate in all interactions between Responsible Designers and,Document 6
No,order to ensure that the licensee develops and maintains this Design Authority capability . The design facility makes a significant contribution,Document 6
No,licensee develops and maintains this Design Authority capability . The design facility makes a significant contribution to an effective design process,Document 6
No,"The design facility makes a significant contribution to an effective design process , and support resource in terms of personnel and",Document 6
No,"very important , including availability of historical information . Overall design resource numbers , as well as continuity , turnover ,",Document 6
No,", training and morale are significant issues in terms of design safety assurance . Training is a particularly important issue ,",Document 6
No,reference level B ( Operating Organisation ) are applicable to Design Planning and Organisation . Design Standards 6 . 12 Establishing,Document 6
No,Organisation ) are applicable to Design Planning and Organisation . Design Standards 6 . 12 Establishing appropriate technical standards to underpin,Document 6
No,"6 . 12 Establishing appropriate technical standards to underpin the design process is an essential early activity , which clearly has",Document 6
No,"safety implications . A range of standards exists for nuclear design application , including IAEA standards , International , European and",Document 6
No,the UK nuclear industry ). It is important that the design organisations have an up to date knowledge of the range,Document 6
No,able to demonstrate a mature selection process for the specific design application . Selected standards must be effectively communicated within the,Document 6
No,"application . Selected standards must be effectively communicated within the design organisation , with training requirements identified and implemented as necessary",Document 6
No,"effectively assessed , communicated and implemented , ( although a design standards freeze may also be put in place ). The",Document 6
No,reference level C ( Quality Management ) are applicable to Design Standards . Report NS - TAST - GD - 057,Document 6
No,9 of 16 Office for Nuclear Regulation 6 . 13 Design verification and validation Design verification is the process whereby each,Document 6
No,for Nuclear Regulation 6 . 13 Design verification and validation Design verification is the process whereby each stage of the design,Document 6
No,Design verification is the process whereby each stage of the design is confirmed as correct against the requirements from the previous,Document 6
No,"applied , either a direct check of the calculation or design method , following the original philosophy , or alternatively a",Document 6
No,"method of verification is by comparison with existing , proven design , although if this is used as the sole method",Document 6
No,the process must be extremely rigorous . The assurance of design verification can be categorised by assigning a checking category level,Document 6
No,"checking category level , ranging from checks within the originating design teams , to independent checks undertaken by external organisations .",Document 6
No,"there are no obvious errors , to ensure that the design output is consistent with other design elements , and to",Document 6
No,"to ensure that the design output is consistent with other design elements , and to confirm the competency of the originator",Document 6
No,"your own work ’, is evident in the most effective design organisations . Design validation ensures that the overall intent of",Document 6
No,"’, is evident in the most effective design organisations . Design validation ensures that the overall intent of the design is",Document 6
No,". Design validation ensures that the overall intent of the design is achieved , and prevents failure of this objective by",Document 6
No,"a combination of independent technical assessment , peer review , design review , staged testing and commissioning plus operating trials .",Document 6
No,"operating trials . Where software applications are used in the design process , rigorous software validation requirements must be in force",Document 6
No,"in force , including for well structured version control . Design packages can be bought in externally or developed internally ,",Document 6
No,"but the fundamental validation requirements are unchanged . Where commercial design software is used , it may be appropriate to run",Document 6
No,"is used , it may be appropriate to run separate design codes as a form of validation . Challenges to the",Document 6
No,of validation . Challenges to the safety assurance of the design process can readily evolve from the uncontrolled growth and use,Document 6
No,"that the delivered structures , systems and components match the design intent . This requires robust systems for identifying products and",Document 6
No,"on the structures , systems and components on which the design has been based , and meet specified standards as necessary",Document 6
No,applicable to the Interface with Procurement . The interfaces between design disciplines 6 . 15 6 . 16 The interfaces between,Document 6
No,"disciplines 6 . 15 6 . 16 The interfaces between design disciplines are important from a safety perspective , specifically where",Document 6
No,"disciplines are important from a safety perspective , specifically where design covers multidisciplinary areas . Some form of interdisciplinary check would",Document 6
No,"check would be a firm expectation as part of any design process . Furthermore , in addition to processes to control",Document 6
No,and document management are critical requirements where large numbers of design documents are produced as part of the process . Licence,Document 6
No,copy or electronic format is the fundamental output of any design process and a significant effort is required to ensure that,Document 6
No,"The management of change is a key part of the design process , from the early stages when the process may",Document 6
No,"iterative , to the later stages where the volume of design information may be substantial . An understanding of the way",Document 6
No,substantial . An understanding of the way in which the design information is structured or configured is also important in recognising,Document 6
No,practical way that agreed changes should be implemented through the design system . The general principles of design change control and,Document 6
No,implemented through the design system . The general principles of design change control and associated configuration management are as follows :,Document 6
No,"communication of change  Update of necessary documentation As the design matures , agreement and authorisation of change is generally undertaken",Document 6
No,"have commenced , the impact of potential changes from the design process are greatly magnified , as are the difficulties in",Document 6
No,safety . This requirement also affects designers and so the design resource should be subject to a competency management system .,Document 6
No,"skills , technical discipline and experience of the designers and design management should ensure that activities are only undertaken by suitably",Document 6
No,The interface with construction / installation 6 . 19 The design process should clearly link to the construction / installation process,Document 6
No,by the designers . The use of field engineers with design office experience is recommended to fulfil this interface function .,Document 6
No,to fulfil this interface function . Recognition of changes requiring design review is fundamental . Licence conditions 19 and 20 have,Document 6
No,"process . The interface with commissioning 6 . 20 The design process should also link to the commissioning process , such",Document 6
No,"by the designers . The use of commissioning engineers with design office experience is recommended to fulfil this interface function ,",Document 6
No,as part of the process . Recognition of changes requiring design review is fundamental . Licence condition 21 has particular relevance,Document 6
No,should confirm the assumptions made and requirements identified through the design process . The SAPs ECM series ( Commissioning ) is,Document 6
No,"The Interface with Maintenance and Inspection 6 . 21 The design process should identify the requirements for examination , inspection ,",Document 6
No,"safe operation . Due regard should be made during the design process to visibility and accessibility of structures , systems and",Document 6
No,of items which are intended to be renewed within the design life of the overall facility . Licence condition 28 has,Document 6
No,. Safety case production and interface 6 . 22 The design process must lead to production of safety documentation that achieves,Document 6
No,", evidence , argument logical justification chain , whereby the design process should seek to primarily provide evidence in terms of",Document 6
No,process should seek to primarily provide evidence in terms of design information and parameters . Where existing facilities are subject to,Document 6
No,understanding of the present state of the facility and original design intent is an important input into the design and safety,Document 6
No,and original design intent is an important input into the design and safety case production activities . Where this information is,Document 6
No,) are applicable to Safety Case Production and Interface . Design review 6 . 23 Design review is a core requirement,Document 6
No,Case Production and Interface . Design review 6 . 23 Design review is a core requirement of any quality management system,Document 6
No,"reviews should be undertaken to confirm the validity of the design , to act as a forum for information transfer and",Document 6
No,and construction / installation disciplines where practicable . Typically a design review should ensure the following :  The requirements of,Document 6
No,brief have been identified and are being met  Appropriate design acceptance criteria have been established and are being met Report,Document 6
No,Regulation  The safety justification process is integrated into the design process  Correct design parameters have been established  The,Document 6
No,justification process is integrated into the design process  Correct design parameters have been established  The design identifies appropriate materials,Document 6
No,process  Correct design parameters have been established  The design identifies appropriate materials and products  Appropriate and referenced design,Document 6
No,design identifies appropriate materials and products  Appropriate and referenced design documentation is being produced  The design identifies suitable limits,Document 6
No,Appropriate and referenced design documentation is being produced  The design identifies suitable limits and conditions of operation and safety Design,Document 6
No,design identifies suitable limits and conditions of operation and safety Design instructions 6 . 24 Formal procedures should be in place,Document 6
No,"24 Formal procedures should be in place to ensure that design instructions , including those issued to installation teams which are",Document 6
No,"need for direction in advance of formal incorporation into other design generated documentation . Nevertheless , these instructions should be formally",Document 6
No,"25 Formal processes should be in place to ensure that design associated faults and potential improvements identified from procurement , construction",Document 6
No,/ installations on the project  Identify what changes to design processes may be necessary for the future in general From,Document 6
No,Fault Recording and Corrective Action Systems . Intelligent Customer and Design Authority 6 . 26 The design knowledge should be retained,Document 6
No,. Intelligent Customer and Design Authority 6 . 26 The design knowledge should be retained in a form that is practically,Document 6
No,facility ’ s operational and decommissioning periods . The licensee Design Authority responsibility includes maintaining the necessary engineering skills and knowledge,Document 6
No,"and dealing with intellectual property issues as necessary . Where design is contracted out , it is important that the licensee",Document 6
No,"it is important that the licensee retains the role of Design Authority , including Intelligent Customer capability , so as to",Document 6
No,"Intelligent Customer capability , so as to correctly specify the design requirements , monitor the design delivery process and validate the",Document 6
No,"as to correctly specify the design requirements , monitor the design delivery process and validate the output . Retention of corporate",Document 6
No,is closely associated with this issue . This role of Design Authority and Intelligent Customer capability extends to the review of,Document 6
No,Intelligent Customer capability extends to the review of third party design consultants where they are used by the non licensee design,Document 6
No,"design consultants where they are used by the non licensee design house ( Responsible Designer ), as well as the interfaces",Document 6
No,ONR ’ s expectations for existing and prospective licensees ’ Design Authority capability . WENRA reference level C ( Quality Management,Document 6
No,) is applicable to the issue of Intelligent Customer and Design Authority . Human factors 6 . 27 Human factors are,Document 6
No,". 27 Human factors are an important consideration for the design process . The designed structures , systems and components should",Document 6
No,level . Human factors input should be made to the design process to ensure that demands on operators to operate the,Document 6
No,"theoretical models can play an important part in linking the design concepts to human factors issues , in terms of the",Document 6
No,) is applicable to the issue of Human Factors . Design quality assurance 6 . 28 Design activities must be internally,Document 6
No,of Human Factors . Design quality assurance 6 . 28 Design activities must be internally regulated by current and controlled quality,Document 6
No,reference level C ( Quality Management ) is applicable to Design Quality Assurance . Design for decommissioning 6 . 29 Design,Document 6
No,Quality Management ) is applicable to Design Quality Assurance . Design for decommissioning 6 . 29 Design solutions should take due,Document 6
No,Design Quality Assurance . Design for decommissioning 6 . 29 Design solutions should take due recognition of the need for future,Document 6
No,"equipment which becomes life expired , within the overall facility design life , in addition to decommissioning the facility as a",Document 6
No,"decommission . Recognition of the future requirement however at the design stage will allow the optimum solution to be achieved ,",Document 6
No,series ( Decommissioning ) is applicable to the issue of Design for Decommissioning . Report NS - TAST - GD -,Document 6
No,"produced to advise the reader of key elements within a design process for items important to safety , primarily for application",Document 6
No,"within the nuclear environment . The detailed features of the design process itself will vary between disciplines and projects , but",Document 6
No,the key elements which should be present in an effective design organisation that produces design solutions that will be demonstrably safe,Document 6
No,should be present in an effective design organisation that produces design solutions that will be demonstrably safe . The elements can,Document 6
No,at Work etc . Act 1974 . 3 Construction ( Design and Management ) Regulations 2007 . 4 Ionising Radiations Regulations,Document 6
No,"Vienna 2001 . 10 Safety of Nuclear Power Plants : Design Specific Safety Requirements , SSR - 2 / 1 ,",Document 6
No,"1 , 2012 : IAEA Safety Standards Series . 11 Design management systems , BS 7000 . BS 7000 - 1",Document 6
No,BS 7000 - 2 : 2015 Guide to managing the design of manufactured products BS 7000 - 4 : 2013 Guide,Document 6
No,products BS 7000 - 4 : 2013 Guide to managing design in construction BS 7000 - 10 : 2008 Vocabulary of,Document 6
No,7000 - 10 : 2008 Vocabulary of terms used in design management     12 DOE Standard Configuration Management,Document 6
No,"- STD - 1073 - 2003 . 13 Maintaining the Design Integrity of Nuclear Installations throughout their Operating Life , INSAG",Document 6
No,condition capable of effectively responding to the threat assessment or design basis threat and that it meets the State ’ s,Document 7
No,or component ( SSC ) concerned . The security system design should incorporate an appropriate level of redundancy to reduce the,Document 7
No,demonstrate in the security plan how they ensure that the design and operation of the security system delivers appropriate levels of,Document 7
No,"provide sufficient resources ( including personnel ) to inform the design , to maintain and to restore nuclear security SSCs ,",Document 7
No,", systems and components should be appropriately qualified , with design incorporating reliability and resilience through ‘ failsecure ’, redundancy ,",Document 7
No,to justify the provision of redundancy in SSCs . A design which is considered acceptable will display adequate levels of system,Document 7
No,to satisfy the deterministic and probabilistic requirements of any potential design for SSCs important to security . Dependent Failure A possible,Document 7
No,a level which is acceptable within the limits set by design requirements . It is important to note that reliability does,Document 7
No,"such as electrical Human error related affecting some shared or design or manufacture , maintenance . dependencies , which arise from",Document 7
No,"and , where necessary and practicable , implemented measures in design , construction and operation to eliminate them or reduce their",Document 7
No,"implemented to minimise the possibility of failure dependencies arising during design , manufacture , construction and operation , including dependencies due",Document 7
No,"diversity , should be addressed in the layout and functional design of the security system where appropriate . Segregation In a",Document 7
No,"hazards or malicious action . Segregation is provided in the design to ensure internal hazards , such as fire and certain",Document 7
No,"Has reliability , resilience and sustainability been considered throughout the design stage for any new facility or security system and incorporated",Document 7
No,", maintain and repair the security system ? Does the design and operation of the security system display appropriate levels of",Document 7
No,relevant good practice in the UK and abroad . Good design and analysis of appropriate systems and equipment . Legal Guidance,Document 8
No,"and their safety cases , ENM . 3 covers the design , implementation and operation of those facilities and ENM .",Document 8
No,the report of the Reactor Harmonisation Working Group on the Design Basis Envelope for Existing Reactors [ 5 ] are relevant,Document 8
No,Reactors [ 5 ] are relevant to the associated engineering design provisions . The reference levels for Waste and Spent Fuel,Document 8
No,Fuel Cycle Facilities [ 6 ] sets out relevant engineering design requirements and the Safety Guide which covers fire protection [,Document 8
No,"buffer storage . The site arrangements , layout and plant design should aim to avoid unnecessary movements of nuclear matter [",Document 8
No,material before they reach the end of their operational or design life or earlier if required by site strategies [ e,Document 8
No,including not only systems for materials accountancy but also the design and operation of the facilities that control nuclear matter .,Document 8
No,principles SAP EKP . 1 to 5 are relevant to design and operation of processes controlling nuclear matter . ONR expects,Document 8
No,"in flowsheets , safety functional requirements and the basis of design . These documents should be identified in the safety case",Document 8
No,. IAEA Protection Against Internal Fires and Explosions in the Design of Nuclear Power Plants ; Safety Guide Safety Standards Series,Document 8
No,"nuclear Security Categorisation for Theft Categorisation for Sabotage Physical Protection Design Adjacent and Enclave Sites Guidance on the Purpose , Scope",Document 9
No,plan once the facility becomes operational using ‘ secure by design ’ principles .    This document is not,Document 9
No,document is not intended to provide guidance on the detailed design of security arrangements for the operating facility . It is,Document 9
No,condition capable of effectively responding to the threat assessment or design basis threat and that it meets the State ’ s,Document 10
No,"related submissions ( from Licensees , Licence Applicants or Generic Design Assessment ( GDA ) Requesting Parties . All these are",Document 12
No,"Nuclear Regulation 4 . 2 Fault analysis : general – Design basis analysis , PSA and severe accident analysis – FA",Document 12
No,ALARP ” should be carried out comprising suitable and sufficient design PSA and severe accident analysis to demonstrate that risks are,Document 12
No,. 10 “ Suitable and sufficient PSA should be and design development and analysis ” performed as part of the fault,Document 12
No,"the SAPs . 2 ) A judgement that a balanced design has been achieved , such that no particular class of",Document 12
No,disproportion . 3 ) That the risks associated with the design and operation of the well as changes in risk associated,Document 12
No,not a process to be carried out only after a design is completed . Fault analysis : PSA – Validity –,Document 12
No,", 4 . 4 “ PSA should reflect the current design and operation of the facility or site ” This principle",Document 12
No,"PSA should be updated as necessary to reflect the current design and be kept living , i . e . it",Document 12
No,level 2 and include all external events ( including beyond design basis events that could realistically lead to a significant offsite,Document 12
No,facility and allow a judgement on the balance of the design . This is ideally achieved if each component of the,Document 12
No,"more difficult . Therefore , while the use of conservative design basis analysis within the PSA can be justified to show",Document 12
No,acceptable providing it is shown to be appropriate to the design and operating conditions of the facility and it relates to,Document 12
No,to represent any level of redundancy present in the specific design of the facility . The consideration of coupling mechanisms and,Document 12
No,of the software and are informed by the specification and design of the system ( e . g . considering the,Document 12
No,e . g . considering the reliability targets for system design based on safety integrity levels in IEC 61508 or equivalent,Document 12
No,14 provide “ PSA should be used to inform the design operation of the site and its facilities ” process and,Document 12
No,so that consistency is achieved between the PSA and the design and operation of the facility . Following such an approach,Document 12
No,"provide an input to the following : i . Initial design , design development and design modifications and back - fits",Document 12
No,"input to the following : i . Initial design , design development and design modifications and back - fits during the",Document 12
No,"following : i . Initial design , design development and design modifications and back - fits during the life of the",Document 12
No,". ONR expects the PSA to be integrated into the design process in an iterative manner , i . e .",Document 12
No,PSA should be used in all the stages of the design . ii . Support to the safety classification of structures,Document 12
No,"incidents and accidents , including severe accidents . viii . Design of , and changes to , operator - training programmes",Document 12
No,"evaluated using PSA ( e . g . a facility design or operational feature , a proposed change to the design",Document 12
No,"design or operational feature , a proposed change to the design , or an event at the facility ) should be",Document 12
No,if the PSA is being used to support a new design . TAG NS - TAST - GD - 042 (,Document 12
No,"of computer codes , as appropriate , for the specific design of the facility . The procedures should also require the",Document 12
No,"Dutyholders are expected to evaluate the impact of modifications ( design , procedures , operating practices , etc .) on the",Document 12
No,point for the PSA is a detailed description of the design and operation of the facility and its associated protection system,Document 12
No,The inspector may consider whether : i . the detailed design of the facility and its equipment to which the PSA,Document 12
No,identified ; ii . sufficient information is provided on the design and operation of the facility and on its behaviour in,Document 12
No,site visit ( s ) to confirm a selection of design and operating assumptions used in the PSA ); iii .,Document 12
No,. g . individual component level ) so that the design and operation of the system is adequately modelled ; iii,Document 12
No,systematically to determine if changes could be made to the design or operation of the facility to make the risks as,Document 12
No,"v . whether , in cases where changes to the design or operation of the facility are proposed , the corresponding",Document 12
No,"plant , i . e . PSAs submitted for generic design assessment ( GDA ), site licensing , reactor commissioning and",Document 12
No,1 . 3 Freeze Date The freeze date for the design and operational features reflected in a particular submission should be,Document 12
No,. The sources of information ( e . g . design documents ) are identified . Facility - specific and site,Document 12
No,"the PSA , which could be affected by siting , design and construction , or operational matters ( such as procedures",Document 12
No,", track and review PSA assumptions enables the latest available design an operational information to be transferred to the PSA so",Document 12
No,"DAMAGE for the Fuel Route PSA , etc . If design targets for CORE DAMAGE FREQUENCY , FUEL DAMAGE FREQUENCY ,",Document 12
No,"and interfaces with other systems . The references to all design information / characteristics , including environmental qualification of all system",Document 12
No,". For cases where operational experience from NPPs of similar design is used , its applicability is justified and the data",Document 12
No,"NPP - specific data or data from NPPs of similar design has been used , information on the operating history of",Document 12
No,all levels of redundancy provided for in the specific facility design and to obtain appropriate CCF parameter estimates for such levels,Document 12
No,transparent and details of this are documented explicitly . The design features and the automatic and manual actions that prevent fire,Document 12
No,is adequate . The screening analysis is traceable . The design parameters used for the derivation of fragilities of equipment and,Document 12
No,"actions are captured , as appropriate , in the NPP design or design modification processes , in the NPP process for",Document 12
No,"captured , as appropriate , in the NPP design or design modification processes , in the NPP process for procedure development",Document 12
No,"LARGE EARLY RELEASE is presented and explained . If a design target for LARGE RELEASE FREQUENCY has been used , this",Document 12
No,"been used , this is stated explicitly . If a design target for LARGE EARLY RELEASE FREQUENCY has been used ,",Document 12
No,"of severe accidents has / have been qualified for the design of the NPP under evaluation . For example , the",Document 12
No,applied to experimental facilities or to other NPPs of similar design with equivalent fidelity . The code and inputs meet ONR,Document 12
No,"facility - specific details , all the assumptions regarding facility design and construction are stated . A process is in place",Document 12
No,ensure that these assumptions are captured to support the future design and construction . The accident scenarios selected as input to,Document 12
No,ensure that these assumptions are captured to support the future design and construction . The material properties assumed are realistic .,Document 12
No,". Computer files for the APETs are provided . System design , operability and survivability modelling is described clearly and justified",Document 12
No,"or operating conditions for system ( s ) exceed their design or qualification limits , assumptions on system design , operability",Document 12
No,"exceed their design or qualification limits , assumptions on system design , operability and survivability are explicitly stated . A process",Document 12
No,"that these assumptions are captured to support the future system design , installation and qualification . Table A1 - 3 .",Document 12
No,"actions are captured , as appropriate , in the NPP design or design modification processes , or in the NPP process",Document 12
No,"captured , as appropriate , in the NPP design or design modification processes , or in the NPP process for procedure",Document 12
No,", assumptions and quantification results to be traceable to the design documentation , drawings , analyses , operating procedures , and",Document 12
No,a credible and defensible basis . The PSA reflects the design of the NPP at the freeze date . The PSA,Document 12
No,process is in place to ensure that the assumptions regarding design and operation of the facility reflected in the PSA are,Document 12
No,"the development of future procedures , policies and strategies , design , design modifications and back - fits , etc .",Document 12
No,"of future procedures , policies and strategies , design , design modifications and back - fits , etc . The PSA",Document 12
No,at least every three years ) to reflect the current design and operational features / practices and to incorporate feedback from,Document 12
No,"societal risk ). The PSA has demonstrated that a balanced design has been achieved , such that no particular class of",Document 12
No,used effectively to demonstrate that the risk associated with the design and operation of the NPP is ALARP 6 . Table,Document 12
No,PSA The PSA has been used to support the NPP design process . There is evidence that this has been done,Document 12
No,has been used to inform all the stages of the design . The PSA has been used to support design modifications,Document 12
No,"the design . The PSA has been used to support design modifications and back - fits , including the analyses of",Document 12
No,"PSA has been used to provide an input to the design of , and changes to , operator - training programmes",Document 12
No,"and content of PSA 1 . 1 For each plant design , a specific PSA shall be developed for level 1",Document 12
No,"ISSUE O ) response , using data relevant for the design , and taking into account human action to the extent",Document 12
No,"risk from the plant , to demonstrate that a balanced design has been achieved , and to provide confidence that there",Document 12
No,"in terms of volume and activity , initially in the design phase and then throughout the lifetime of facilities that generate",Document 13
No,and unequivocal . The licensee should demonstrate suitable and sufficient design features and operational procedures to support the management of radioactive,Document 13
No,effective if it is taken into account at the process design stage and can contribute significantly to the effective and safe,Document 13
No,entry of wildlife . The licensee should demonstrate that the design of the storage building or structure is fit for purpose,Document 13
No,", including treatment and conditioning ; Details of packaging ; Design and construction materials ; Inspection , maintenance and testing ;",Document 13
No,6 . 71 The safety case should demonstrate that the design and operation of the facility and its associated arrangements meet,Document 13
No,"includes consideration of the time which may be needed to design , construct and commission , or to procure a replacement",Document 13
No,not require heating to be taken into account for the design of storage or disposal facilities [ 23 ]. IAEA guidance,Document 13
No,"the supplier organisation ’ s own criteria and any applicable design code requirements for selection , employment and training of employees",Document 14
No,"8 . 15 The importance of identification and retention of design , procurement , manufacturing , fabrication and inspection records cannot",Document 14
No,"the demonstration that structures , systems and components meet the design intent and nuclear security requirements . The identification , generation",Document 14
No,and the Approved Code of Practice [ 8 ]. Construction Design and Management Regulations 2015 ( CDM ) 3 . 9,Document 15
No,"principle relates to consideration of decommissioning during the planning , design construction and operation of a new facility , or modification",Document 15
No,– this principle relates to consideration of decommissioning at the design stage to ensure incorporation of features to facilitate decommissioning .,Document 15
No,"), NS - TAST - GD - 79 ( Licensee design authority capability ), NS TAST - GD - 061 (",Document 15
No,"capture information of relevance to decommissioning , starting from the design stage and continuing through the whole life - cycle .",Document 15
No,decommissioning typically includes :       Design and construction records describing the as - built situation .,Document 15
No,"5 . 29 DECOMMISSIONING STRATEGY AND PLANNING Facilitating decommissioning during design , construction and operational phase ( WENRA SRLs D -",Document 15
No,"lifecycle of the facility , starting at the planning and design phase . Although the practical delivery of decommissioning is the",Document 15
No,occur with an appropriate level of detail from the moment design commences . Targeted consideration of decommissioning during the preceding lifecycle,Document 15
No,"and costs of delivering decommissioning . Throughout the steps of design , construction , commissioning , maintenance and operation , the",Document 15
No,"have been significantly reduced or avoided , had the initial design and operational philosophy given greater thought to the needs of",Document 15
No,s arrangements and processes recognise the need to challenge the design in order to reduce the risks of future decommissioning to,Document 15
No,"bottlenecks , logistical delays and unnecessary double handling . The design of civil structures should provide for long - term stability",Document 15
No,"information modelling ( BIM ) where appropriate . Incorporation of design features to aid the decommissioning sequence , for example egress",Document 15
No,"). This should include consideration of any foreseeable beyond - design - basis fault progression , as illustrated by the Fukushima",Document 15
No,"for the purposes of EIADR . Facility decommissioning plan during design , construction and operational phases ( WENRA SRLs D -",Document 15
No,"account expected hazards and health & safety issues . Incorporate design for decommissioning features . As far as practicable , the",Document 15
No,"for decommissioning features . As far as practicable , the design should take account of features which may assist future decommissioning",Document 15
No,be difficult to reverse . The key decommissioning measures and design features should be described and justified by the Licensee .,Document 15
No,as management of waste and radioactive effluents . Inform the design process and vice versa . ALARP considerations should also be,Document 15
No,ALARP considerations should also be apparent ( appropriate to the design stage ). Be used to inform the development of the,Document 15
No,"of differences between “ as built ” plant and the design drawings , past plant modifications , incidents , spillages etc",Document 15
No,"to deploy new equipment during decommissioning , to ensure its design appropriately considers the human - machine interface . Further guidance",Document 15
No,"Reliability Analysis Function and Content of the Nuclear Baseline Licensee Design authority Capability Challenge Culture , Independent Challenge Capability ( including",Document 15
No,reasonably practicable Best Available Technique Baseline Decommissioning Plan The Construction Design and Management Regulations 2015 Care & Maintenance Environment Agency Nuclear,Document 15
No,maintaining nuclear security . The specification should detail any applicable design codes and standards that fully describe the items or services,Document 16
No,"be required , which go beyond basic compliance with established design codes and standards . ONR may wish to assess the",Document 16
No,", taking into account any additional requirements . Throughout the design process , appropriate assurance activities should be undertaken to ensure",Document 16
No,appropriate assurance activities should be undertaken to ensure that the design meets the requirements of the purchaser and applicable codes or,Document 16
No,"are competent to confirm that the specifications properly reflect the design intent , meet any design codes and standards and as",Document 16
No,"the specifications properly reflect the design intent , meet any design codes and standards and as such meet security plan requirements",Document 16
No,"control process to ensure that any changes to specification , design or contract are properly controlled and authorised , and the",Document 16
No,". Inspectors should consider :  Do specifications reflect the design intent , design codes and standards , and meet security",Document 16
No,"consider :  Do specifications reflect the design intent , design codes and standards , and meet security plan requirements ?",Document 16
No,", and their significance ? Are variations to specification , design or contract properly conceived , communicated , implemented and assessed",Document 16
No,"from specified requirements , referring to the dutyholder ’ s Design Authority ( DA – as defined in Security TAG 1",Document 16
No,"agrees to a TQ that requires a change in the design or other process , then the purchaser should track the",Document 16
No,should be able to demonstrate sufficient knowledge of the plant design and security plan for all plant and operations on the,Document 16
