Keyword,Score
project,0.2514504480695648
projection,0.2514504480695648
projects,0.2514504480695648
projected,0.2514504480695648
projections,0.2514504480695648
projectized,0.2514504480695648
including,0.18762117984252705
includes,0.18762117984252705
include,0.18762117984252705
included,0.18762117984252705
includ,0.18762117984252705
requirements,0.16006152085938075
required,0.16006152085938075
requirement,0.16006152085938075
require,0.16006152085938075
requires,0.16006152085938075
requiring,0.16006152085938075
management,0.15796864076726788
manage,0.15796864076726788
managing,0.15796864076726788
managers,0.15796864076726788
managed,0.15796864076726788
manageable,0.15796864076726788
manages,0.15796864076726788
manager,0.15796864076726788
operated,0.15225155137568372
operating,0.15225155137568372
operations,0.15225155137568372
operation,0.15225155137568372
operational,0.15225155137568372
operators,0.15225155137568372
operate,0.15225155137568372
operator,0.15225155137568372
operates,0.15225155137568372
operability,0.15225155137568372
operatives,0.15225155137568372
oper,0.15225155137568372
processes,0.13601519772578702
process,0.13601519772578702
processed,0.13601519772578702
processing,0.13601519772578702
safety,0.12919690548054893
designed,0.127722849743091
design,0.127722849743091
designated,0.127722849743091
designs,0.127722849743091
designers,0.127722849743091
designer,0.127722849743091
designing,0.127722849743091
onr,0.10704450892650033
onrs,0.10704450892650033
control,0.10273987035168916
controlled,0.10273987035168916
controlling,0.10273987035168916
controls,0.10273987035168916
controllable,0.10273987035168916
report,0.10219731094625137
reporting,0.10219731094625137
reports,0.10219731094625137
reported,0.10219731094625137
secure,0.10163840822879223
security,0.10163840822879223
securely,0.10163840822879223
secured,0.10163840822879223
securing,0.10163840822879223
secures,0.10163840822879223
appropriate,0.1015131822968884
appropriately,0.1015131822968884
appropriateness,0.1015131822968884
risks,0.10022633504355795
systems,0.09733308567480503
systemic,0.09733308567480503
changes,0.09711402518118645
change,0.09711402518118645
changing,0.09711402518118645
changed,0.09711402518118645
specific,0.09692563978876918
specifically,0.09692563978876918
specifications,0.09692563978876918
specification,0.09692563978876918
regulation,0.0950050944088535
regulations,0.0950050944088535
regulators,0.0950050944088535
regulated,0.0950050944088535
regulate,0.0950050944088535
regulator,0.0950050944088535
regulates,0.0950050944088535
regulating,0.0950050944088535
site,0.09361939827438825
sites,0.09361939827438825
siting,0.09361939827438825
sited,0.09361939827438825
communicated,0.09278980944600589
communication,0.09278980944600589
community,0.09278980944600589
communities,0.09278980944600589
communications,0.09278980944600589
communicate,0.09278980944600589
communicator,0.09278980944600589
communicates,0.09278980944600589
communicating,0.09278980944600589
planned,0.08974434485175725
plans,0.08974434485175725
plan,0.08974434485175725
planning,0.08974434485175725
levels,0.08898310012595033
level,0.08898310012595033
general,0.08714508850433757
generations,0.08714508850433757
generation,0.08714508850433757
generally,0.08714508850433757
generated,0.08714508850433757
generators,0.08714508850433757
generate,0.08714508850433757
generic,0.08714508850433757
generating,0.08714508850433757
generator,0.08714508850433757
generous,0.08714508850433757
nuclear,0.08601726668139316
provide,0.08531559477529718
provided,0.08531559477529718
provides,0.08531559477529718
providing,0.08531559477529718
information,0.08497970195725053
inform,0.08497970195725053
informs,0.08497970195725053
informed,0.08497970195725053
informal,0.08497970195725053
informing,0.08497970195725053
facilities,0.08252713240367023
facility,0.08252713240367023
facil,0.08252713240367023
risk assessments,0.08193597357701615
activities,0.08186803635599352
activity,0.08186803635599352
activation,0.08186803635599352
active,0.08186803635599352
activated,0.08186803635599352
actively,0.08186803635599352
activ,0.08186803635599352
document,0.08135739784466385
documentation,0.08135739784466385
documents,0.08135739784466385
documented,0.08135739784466385
documenting,0.08135739784466385
work,0.07931159051233475
working,0.07931159051233475
works,0.07931159051233475
worked,0.07931159051233475
relevant,0.07878073237183536
relevance,0.07878073237183536
developed,0.07744010074866971
develop,0.07744010074866971
development,0.07744010074866971
developing,0.07744010074866971
develops,0.07744010074866971
developer,0.07744010074866971
developments,0.07744010074866971
developers,0.07744010074866971
functions,0.07696752573958235
functionality,0.07696752573958235
functional,0.07696752573958235
function,0.07696752573958235
functionally,0.07696752573958235
functioning,0.07696752573958235
time,0.07690953175856016
times,0.07690953175856016
timing,0.07690953175856016
timely,0.07690953175856016
timings,0.07690953175856016
timed,0.07690953175856016
engineering,0.07613617322357216
engineers,0.07613617322357216
engineered,0.07613617322357216
engineer,0.07613617322357216
industry,0.0752308013295988
industries,0.0752308013295988
industrial,0.0752308013295988
decommissioned,0.07515599822887685
decommissioning,0.07515599822887685
decommission,0.07515599822887685
analysis,0.07147383438761451
production,0.07120414395140617
product,0.07120414395140617
products,0.07120414395140617
productive,0.07120414395140617
productivity,0.07120414395140617
identify,0.07062941878256797
identified,0.07062941878256797
identifying,0.07062941878256797
identifies,0.07062941878256797
identifiable,0.07062941878256797
identifier,0.07062941878256797
standards,0.07035319025319603
standard,0.07035319025319603
standardization,0.07035319025319603
standardized,0.07035319025319603
standardize,0.07035319025319603
material,0.0690154195180739
materials,0.0690154195180739
materi,0.0690154195180739
waste,0.06783449935155679
wastes,0.06783449935155679
effectively,0.06779925239008446
effective,0.06779925239008446
effects,0.06779925239008446
effect,0.06779925239008446
effectiveness,0.06779925239008446
effected,0.06779925239008446
performance,0.06474067360819198
perform,0.06474067360819198
performing,0.06474067360819198
performed,0.06474067360819198
structures,0.06443096808811129
structured,0.06443096808811129
structure,0.06443096808811129
structural,0.06443096808811129
following,0.0643909434486463
follows,0.0643909434486463
followed,0.0643909434486463
follow,0.0643909434486463
model,0.06433047226114248
models,0.06433047226114248
modelling,0.06433047226114248
modelled,0.06433047226114248
modeling,0.06433047226114248
modeled,0.06433047226114248
assessment,0.06364561211047434
assessed,0.06364561211047434
assessing,0.06364561211047434
assess,0.06364561211047434
arrangements,0.06336696793913604
arrangement,0.06336696793913604
arrange,0.06336696793913604
arranged,0.06336696793913604